Stad,År,Befolkning
Lidingö,1800,NA
Lidingö,1810,NA
Lidingö,1820,NA
Lidingö,1830,NA
Lidingö,1840,NA
Lidingö,1850,NA
Lidingö,1860,NA
Lidingö,1870,NA
Lidingö,1880,NA
Lidingö,1890,NA
Lidingö,1900,NA
Lidingö,1910,NA
Lidingö,1920,NA
Lidingö,1930,11292
Lidingö,1940,11337
Lidingö,1950,20444
Lidingö,1960,29424
Lidingö,1965,34165
Lidingö,1967,35379
Lidköping,1800,1282
Lidköping,1810,1435
Lidköping,1820,1642
Lidköping,1830,1818
Lidköping,1840,2081
Lidköping,1850,2417
Lidköping,1860,3304
Lidköping,1870,3994
Lidköping,1880,4734
Lidköping,1890,5180
Lidköping,1900,5446
Lidköping,1910,6885
Lidköping,1920,8364
Lidköping,1930,9296
Lidköping,1940,11704
Lidköping,1950,14548
Lidköping,1960,16853
Lidköping,1965,18682
Lidköping,1967,19787
Lindesberg,1800,736
Lindesberg,1810,552
Lindesberg,1820,624
Lindesberg,1830,792
Lindesberg,1840,776
Lindesberg,1850,876
Lindesberg,1860,1091
Lindesberg,1870,1242
Lindesberg,1880,1585
Lindesberg,1890,1532
Lindesberg,1900,1930
Lindesberg,1910,2772
Lindesberg,1920,3027
Lindesberg,1930,3235
Lindesberg,1940,4355
Lindesberg,1950,5306
Lindesberg,1960,6010
Lindesberg,1965,6898
Lindesberg,1967,6869
Linköping,1800,2680
Linköping,1810,3285
Linköping,1820,3415
Linköping,1830,3960
Linköping,1840,4767
Linköping,1850,5240
Linköping,1860,6138
Linköping,1870,7257
Linköping,1880,8752
Linköping,1890,12649
Linköping,1900,14552
Linköping,1910,18149
Linköping,1920,26920
Linköping,1930,29845
Linköping,1940,38654
Linköping,1950,54512
Linköping,1960,65237
Linköping,1965,71652
Linköping,1967,78032
Ljungby,1800,NA
Ljungby,1810,NA
Ljungby,1820,NA
Ljungby,1830,NA
Ljungby,1840,NA
Ljungby,1850,NA
Ljungby,1860,NA
Ljungby,1870,NA
Ljungby,1880,NA
Ljungby,1890,NA
Ljungby,1900,NA
Ljungby,1910,NA
Ljungby,1920,NA
Ljungby,1930,NA
Ljungby,1940,5354
Ljungby,1950,7154
Ljungby,1960,9320
Ljungby,1965,11153
Ljungby,1967,11950
Ludvika,1800,NA
Ludvika,1810,NA
Ludvika,1820,NA
Ludvika,1830,NA
Ludvika,1840,NA
Ludvika,1850,NA
Ludvika,1860,NA
Ludvika,1870,NA
Ludvika,1880,NA
Ludvika,1890,NA
Ludvika,1900,NA
Ludvika,1910,NA
Ludvika,1920,4313
Ludvika,1930,5052
Ludvika,1940,6722
Ludvika,1950,10304
Ludvika,1960,12253
Ludvika,1965,22384
Ludvika,1967,22008
Luleå,1800,901
Luleå,1810,873
Luleå,1820,1028
Luleå,1830,1064
Luleå,1840,1139
Luleå,1850,1257
Luleå,1860,1516
Luleå,1870,1905
Luleå,1880,3120
Luleå,1890,4755
Luleå,1900,9484
Luleå,1910,8959
Luleå,1920,10545
Luleå,1930,11336
Luleå,1940,13948
Luleå,1950,22638
Luleå,1960,30614
Luleå,1965,34853
Luleå,1967,36296
Lund,1800,3086
Lund,1810,3100
Lund,1820,3550
Lund,1830,4211
Lund,1840,5264
Lund,1850,6709
Lund,1860,8412
Lund,1870,10688
Lund,1880,14304
Lund,1890,15023
Lund,1900,16621
Lund,1910,20139
Lund,1920,23183
Lund,1930,24520
Lund,1940,27969
Lund,1950,33828
Lund,1960,40380
Lund,1965,45670
Lund,1967,50669
Lycksele,1800,NA
Lycksele,1810,NA
Lycksele,1820,NA
Lycksele,1830,NA
Lycksele,1840,NA
Lycksele,1850,NA
Lycksele,1860,NA
Lycksele,1870,NA
Lycksele,1880,NA
Lycksele,1890,NA
Lycksele,1900,NA
Lycksele,1910,NA
Lycksele,1920,NA
Lycksele,1930,NA
Lycksele,1940,NA
Lycksele,1950,3461
Lycksele,1960,5750
Lycksele,1965,6087
Lycksele,1967,6323
Lysekil,1800,NA
Lysekil,1810,NA
Lysekil,1820,NA
Lysekil,1830,NA
Lysekil,1840,NA
Lysekil,1850,NA
