Kommunkod,Kommun,Parti,År,Antal
0481,Oxelösund,Socialdemokraterna,1973,4898
0481,Oxelösund,Sverigedemokraterna,1973,NA
0481,Oxelösund,Vänsterpartiet,1973,582
0481,Oxelösund,övriga partier,1973,46
0482,Flen,Centerpartiet,1973,3091
0482,Flen,ej röstande,1973,800
0482,Flen,Kristdemokraterna,1973,206
0482,Flen,Liberalerna,1973,921
0482,Flen,Miljöpartiet,1973,NA
0482,Flen,Moderaterna,1973,1218
0482,Flen,ogiltiga valsedlar,1973,16
0482,Flen,Socialdemokraterna,1973,5691
0482,Flen,Sverigedemokraterna,1973,NA
0482,Flen,Vänsterpartiet,1973,367
0482,Flen,övriga partier,1973,19
0483,Katrineholm,Centerpartiet,1973,5027
0483,Katrineholm,ej röstande,1973,1735
0483,Katrineholm,Kristdemokraterna,1973,503
0483,Katrineholm,Liberalerna,1973,1888
0483,Katrineholm,Miljöpartiet,1973,NA
0483,Katrineholm,Moderaterna,1973,2205
0483,Katrineholm,ogiltiga valsedlar,1973,26
0483,Katrineholm,Socialdemokraterna,1973,11133
0483,Katrineholm,Sverigedemokraterna,1973,NA
0483,Katrineholm,Vänsterpartiet,1973,491
0483,Katrineholm,övriga partier,1973,76
0484,Eskilstuna,Centerpartiet,1973,10989
0484,Eskilstuna,ej röstande,1973,5131
0484,Eskilstuna,Kristdemokraterna,1973,866
0484,Eskilstuna,Liberalerna,1973,6080
0484,Eskilstuna,Miljöpartiet,1973,NA
0484,Eskilstuna,Moderaterna,1973,5674
0484,Eskilstuna,ogiltiga valsedlar,1973,89
0484,Eskilstuna,Socialdemokraterna,1973,28902
0484,Eskilstuna,Sverigedemokraterna,1973,NA
0484,Eskilstuna,Vänsterpartiet,1973,2502
0484,Eskilstuna,övriga partier,1973,229
0486,Strängnäs,Centerpartiet,1973,3382
0486,Strängnäs,ej röstande,1973,1101
0486,Strängnäs,Kristdemokraterna,1973,209
0486,Strängnäs,Liberalerna,1973,1630
0486,Strängnäs,Miljöpartiet,1973,NA
0486,Strängnäs,Moderaterna,1973,2131
0486,Strängnäs,ogiltiga valsedlar,1973,19
0486,Strängnäs,Socialdemokraterna,1973,5913
0486,Strängnäs,Sverigedemokraterna,1973,NA
0486,Strängnäs,Vänsterpartiet,1973,423
0486,Strängnäs,övriga partier,1973,53
0488,Trosa,Centerpartiet,1973,NA
0488,Trosa,ej röstande,1973,NA
0488,Trosa,Kristdemokraterna,1973,NA
0488,Trosa,Liberalerna,1973,NA
0488,Trosa,Miljöpartiet,1973,NA
0488,Trosa,Moderaterna,1973,NA
0488,Trosa,ogiltiga valsedlar,1973,NA
0488,Trosa,Socialdemokraterna,1973,NA
0488,Trosa,Sverigedemokraterna,1973,NA
0488,Trosa,Vänsterpartiet,1973,NA
0488,Trosa,övriga partier,1973,NA
0509,Ödeshög,Centerpartiet,1973,1472
0509,Ödeshög,ej röstande,1973,359
0509,Ödeshög,Kristdemokraterna,1973,166
0509,Ödeshög,Liberalerna,1973,260
0509,Ödeshög,Miljöpartiet,1973,NA
0509,Ödeshög,Moderaterna,1973,480
0509,Ödeshög,ogiltiga valsedlar,1973,3
0509,Ödeshög,Socialdemokraterna,1973,1477
0509,Ödeshög,Sverigedemokraterna,1973,NA
0509,Ödeshög,Vänsterpartiet,1973,69
0509,Ödeshög,övriga partier,1973,8
0512,Ydre,Centerpartiet,1973,1235
0512,Ydre,ej röstande,1973,225
0512,Ydre,Kristdemokraterna,1973,153
0512,Ydre,Liberalerna,1973,356
0512,Ydre,Miljöpartiet,1973,NA
0512,Ydre,Moderaterna,1973,304
0512,Ydre,ogiltiga valsedlar,1973,2
0512,Ydre,Socialdemokraterna,1973,750
0512,Ydre,Sverigedemokraterna,1973,NA
0512,Ydre,Vänsterpartiet,1973,51
0512,Ydre,övriga partier,1973,2
0513,Kinda,Centerpartiet,1973,2886
0513,Kinda,ej röstande,1973,641
0513,Kinda,Kristdemokraterna,1973,279
0513,Kinda,Liberalerna,1973,383
0513,Kinda,Miljöpartiet,1973,NA
0513,Kinda,Moderaterna,1973,978
0513,Kinda,ogiltiga valsedlar,1973,9
0513,Kinda,Socialdemokraterna,1973,2348
0513,Kinda,Sverigedemokraterna,1973,NA
0513,Kinda,Vänsterpartiet,1973,115
0513,Kinda,övriga partier,1973,11
0560,Boxholm,Centerpartiet,1973,1113
0560,Boxholm,ej röstande,1973,362
0560,Boxholm,Kristdemokraterna,1973,85
0560,Boxholm,Liberalerna,1973,146
0560,Boxholm,Miljöpartiet,1973,NA
0560,Boxholm,Moderaterna,1973,281
0560,Boxholm,ogiltiga valsedlar,1973,6
0560,Boxholm,Socialdemokraterna,1973,2118
0560,Boxholm,Sverigedemokraterna,1973,NA
0560,Boxholm,Vänsterpartiet,1973,259
0560,Boxholm,övriga partier,1973,4
0561,Åtvidaberg,Centerpartiet,1973,2110
0561,Åtvidaberg,ej röstande,1973,646
0561,Åtvidaberg,Kristdemokraterna,1973,252
0561,Åtvidaberg,Liberalerna,1973,478
0561,Åtvidaberg,Miljöpartiet,1973,NA
0561,Åtvidaberg,Moderaterna,1973,834
0561,Åtvidaberg,ogiltiga valsedlar,1973,10
0561,Åtvidaberg,Socialdemokraterna,1973,4713
0561,Åtvidaberg,Sverigedemokraterna,1973,NA
0561,Åtvidaberg,Vänsterpartiet,1973,171
0561,Åtvidaberg,övriga partier,1973,14
0562,Finspång,Centerpartiet,1973,3152
0562,Finspång,ej röstande,1973,1026
0562,Finspång,Kristdemokraterna,1973,448
0562,Finspång,Liberalerna,1973,936
0562,Finspång,Miljöpartiet,1973,NA
0562,Finspång,Moderaterna,1973,1422
0562,Finspång,ogiltiga valsedlar,1973,20
0562,Finspång,Socialdemokraterna,1973,8732
0562,Finspång,Sverigedemokraterna,1973,NA
0562,Finspång,Vänsterpartiet,1973,592
0562,Finspång,övriga partier,1973,51
0563,Valdemarsvik,Centerpartiet,1973,1847
0563,Valdemarsvik,ej röstande,1973,464
0563,Valdemarsvik,Kristdemokraterna,1973,129
0563,Valdemarsvik,Liberalerna,1973,317
0563,Valdemarsvik,Miljöpartiet,1973,NA
0563,Valdemarsvik,Moderaterna,1973,660
0563,Valdemarsvik,ogiltiga valsedlar,1973,12
0563,Valdemarsvik,Socialdemokraterna,1973,2782
0563,Valdemarsvik,Sverigedemokraterna,1973,NA
0563,Valdemarsvik,Vänsterpartiet,1973,231
0563,Valdemarsvik,övriga partier,1973,16
0580,Linköping,Centerpartiet,1973,16541
0580,Linköping,ej röstande,1973,6156
0580,Linköping,Kristdemokraterna,1973,2020
0580,Linköping,Liberalerna,1973,6023
0580,Linköping,Miljöpartiet,1973,NA
0580,Linköping,Moderaterna,1973,11260
0580,Linköping,ogiltiga valsedlar,1973,115
0580,Linköping,Socialdemokraterna,1973,31064
0580,Linköping,Sverigedemokraterna,1973,NA
0580,Linköping,Vänsterpartiet,1973,3169
0580,Linköping,övriga partier,1973,294
0581,Norrköping,Centerpartiet,1973,15842
0581,Norrköping,ej röstande,1973,8631
0581,Norrköping,Kristdemokraterna,1973,1589
0581,Norrköping,Liberalerna,1973,5455
0581,Norrköping,Miljöpartiet,1973,NA
0581,Norrköping,Moderaterna,1973,12003
0581,Norrköping,ogiltiga valsedlar,1973,104
0581,Norrköping,Socialdemokraterna,1973,36955
0581,Norrköping,Sverigedemokraterna,1973,NA
0581,Norrköping,Vänsterpartiet,1973,3350
0581,Norrköping,övriga partier,1973,436
0582,Söderköping,Centerpartiet,1973,2453
0582,Söderköping,ej röstande,1973,535
0582,Söderköping,Kristdemokraterna,1973,191
0582,Söderköping,Liberalerna,1973,388
0582,Söderköping,Miljöpartiet,1973,NA
0582,Söderköping,Moderaterna,1973,988
0582,Söderköping,ogiltiga valsedlar,1973,6
0582,Söderköping,Socialdemokraterna,1973,2284
0582,Söderköping,Sverigedemokraterna,1973,NA
0582,Söderköping,Vänsterpartiet,1973,138
0582,Söderköping,övriga partier,1973,15
0583,Motala,Centerpartiet,1973,7116
0583,Motala,ej röstande,1973,2966
0583,Motala,Kristdemokraterna,1973,759
0583,Motala,Liberalerna,1973,2196
0583,Motala,Miljöpartiet,1973,NA
0583,Motala,Moderaterna,1973,3483
0583,Motala,ogiltiga valsedlar,1973,44
