Namn,K,M
Abdulwakeel,0,2
Abdulwakil,0,2
Abdulwali,0,4
Abdulwase,0,2
Abdulwasi,0,4
Abdulwasie,0,5
Abdulwhab,0,2
Abdulzaher,0,3
Abdulzahra,0,3
Abdumajid,0,2
Abdumalik,0,4
Abdun,0,2
Abdunaser,0,2
Abdunasir,0,4
Abdunosir,0,2
Abduqaadir,0,2
Abduqadir,0,35
Abdur,0,26
Abdurahim,0,31
Abdurahman,0,183
Abdurahmon,0,5
Abdurakhim,0,4
Abdurakhman,0,8
Abdurakhmon,0,6
Abdurashid,0,7
Abdurassul,0,2
Abdurasul,0,3
Abdurauf,0,2
Abdurazak,0,9
Abdurazaq,0,2
Abdurehman,0,8
Abdureshid,0,2
Abdurezak,0,9
Abdurhman,0,4
Abdurraheem,0,2
Abdurrahim,0,27
Abdurrahman,0,114
Abdur-Rahman,0,4
Abdurraouf,0,2
Abdurrazaq,0,3
Abdus,0,13
Abdusaid,0,4
Abdusalaam,0,2
Abdusalam,0,20
Abdusamad,0,4
Abduselam,0,27
Abdusemed,0,2
Abdushukur,0,2
Abduslam,0,3
Abdussalam,0,6
Abdussamed,0,2
Abduwahab,0,4
Abduwahid,0,3
Abduwali,0,6
Abdyl,0,3
Abdylaziz,0,2
Abdülaziz,0,2
Abdülhamid,0,2
Abdülkadir,0,8
Abdülkerim,0,2
Abdülmecit,0,3
Abdülvahit,0,2
Abe,2,4
Abeal,0,2
Abebaw,0,3
Abebayehu,2,2
Abebe,0,26
Abed,0,310
Abed Alrahman,0,6
Abeda,14,2
Abedalaziz,0,4
Abedalfatah,0,2
Abedali,0,2
Abedalkader,0,2
Abedalla,0,2
Abedallah,0,7
Abedalqader,0,2
Abedalrahman,0,8
Abedalsalam,0,2
Abeddin,0,2
Abede,0,3
Abedelrahman,0,4
Abedi,0,2
Abedin,0,65
Abedom,0,3
Abedrahman,0,2
Abedullah,0,5
Abeer,500,9
Abeil,0,3
Ábel,0,10
Abel,0,541
Abel Abraham,0,2
Abelardo,0,8
Abele,0,3
Abell,0,3
Abenazer,0,3
Abenet,0,3
Abenezer,0,16
Abenob,0,3
Abenzer,0,2
Abera,0,7
Aberham,0,2
Aberra,0,4
Abeselom,0,3
Abey,0,3
Abgar,0,25
Abhar,0,2
Abhay,0,20
Abhi,0,5
Abhijat,0,2
Abhijeet,0,17
Abhijit,0,17
Abhijith,0,10
Abhik,0,2
Abhilash,0,21
Abhimanyu,0,10
Abhinandan,0,5
Abhinash,0,2
Abhinav,0,40
Abhinay,0,3
Abhiram,0,9
Abhiroop,0,2
Abhisek,0,5
Abhishek,0,115
Abi,7,14
Abib,0,8
Abibakar,0,3
Abid,0,109
Abidal,0,2
Abidemi,0,2
Abidin,0,25
Abidur,0,2
Abiel,0,100
Abieselom,0,2
Abiib,0,4
Abil,0,4
Abilash,0,2
Abilio,0,3
Abim,0,4
Abimael,0,4
Abimbola,4,2
Abin,0,4
Abinabi,0,6
Abinash,0,7
Abinayan,0,2
Abiner,0,4
Abinezer,0,3
Abiodun,4,7
Abiola,2,2
Abir,488,24
Abiselom,0,3
Abish,0,3
Abishan,0,2
Abishek,0,6
Abisolom,0,2
Abit,0,16
Abiy,0,15
Abiyel,0,2
Abizer,0,2
Abjar,0,22
Abkar,0,6
Abker,0,2
Ablahad,0,19
Ablai,0,2
Ablaye,0,2
Ablel,0,9
Ablelom,0,9
Ablie,0,7
Ablikim,0,2
Abner,0,13
Abnet,3,4
Abo,3,17
Aboalfadel,0,2
Abobakar,0,2
Abobaker,0,17
Abobakir,0,5
Abobakr,0,19
Abod,0,21
Abode,0,2
Abodi,0,6
Abody,0,2
Abokar,0,7
Abokor,0,19
Abol,0,5
Abolade,0,2
Abolaji,0,2
